hotel_name,area,city,price,score,reviews,hotel_loc_score,staff_score,wifi_score,clean_score,non_smoking,business_center,free_parking,front_desk_24_7,laundry,shuttle
Dizengoff Garden Hotel,Tel Aviv City-Centre,Tel Aviv,199,8.8,"[<span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.6,9.6,7.8,9.0,True,False,False,True,False,False
Backstage Hotel - an Atlas Boutique Hotel,Tel Aviv City-Centre,Tel Aviv,259,9.8,"[<span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Comfort <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Facilities <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Comfort <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Facilities <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Comfort <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Facilities <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>]",9.8,9.9,10.0,9.8,True,False,False,True,False,False
Prima Tel Aviv Hotel,Tel Aviv City-Centre,Tel Aviv,213,8.4,"[<span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.5,9.1,8.7,8.6,True,True,False,True,True,False
Renaissance Tel Aviv Hotel,Tel Aviv City-Centre,Tel Aviv,310,7.9,"[<span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.3,8.5,8.7,8.4,True,True,False,True,True,False
Embassy Hotel Tel Aviv,Tel Aviv City-Centre,Tel Aviv,254,8.6,"[<span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.3,9.2,9.2,9.0,True,False,False,True,True,False
BY14 TLV Hotel,Tel Aviv City-Centre,Tel Aviv,219,8.6,"[<span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.3,9.2,9.2,8.8,True,False,False,True,True,False
Port Tower by Isrotel Design,Tel Aviv Port Area,Tel Aviv,246,8.4,"[<span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",8.9,9.0,8.6,8.8,False,False,False,True,False,False
"Crowne Plaza Tel Aviv Beach, an IHG Hotel",Tel Aviv City-Centre,Tel Aviv,305,7.9,"[<span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",9.2,8.3,8.6,8.2,True,True,False,True,False,False
Sea Tower by Isrotel Design,Tel Aviv City-Centre,Tel Aviv,228,7.6,"[<span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Staff</span>, <span class=""c-score-bar__title"">Cleanliness</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi</span>]",8.8,8.1,8.0,8.2,True,True,False,True,True,False
Artist Hotel - an Atlas Boutique Hotel,Tel Aviv City-Centre,Tel Aviv,188,9.1,"[<span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Staff <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Location</span>, <span class=""c-score-bar__title"">Cleanliness <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>, <span class=""c-score-bar__title"">Value for money</span>, <span class=""c-score-bar__title"">Comfort</span>, <span class=""c-score-bar__title"">Facilities</span>, <span class=""c-score-bar__title"">Free WiFi <svg aria-hidden=""true"" class=""bk-icon -iconset-arrow_up_bold"" fill=""#006607"" focusable=""false"" height=""14"" role=""presentation"" viewbox=""0 0 128 128"" width=""14""><path d=""M101.7 61.7a8 8 0 0 1-11.4 0L72 43.3V104a8 8 0 0 1-16 0V43.3L37.7 61.7a8 8 0 0 1-11.4-11.4L64 12.7l37.7 37.6a8 8 0 0 1 0 11.4z""></path></svg></span>]",9.4,9.6,9.5,9.5,True,False,False,True,True,False
